Nodes,Levels,Times,Scenarios,NumCars
26,8,6,0,1.020778518518518
26,8,6,1,0.9841118518518516
26,8,6,2,0.34849851851851843
26,8,6,3,0.34849851851851843
26,8,6,4,0.34849851851851843
26,8,6,5,0.34849851851851843
26,8,6,6,0.34849851851851843
26,8,6,7,0.34849851851851843
26,8,6,8,0.34849851851851843
26,8,6,9,0.34849851851851843
26,8,6,10,0.0419651851851851
26,8,6,11,0.34849851851851843
26,8,6,12,0.34849851851851843
26,8,6,13,0.34849851851851843
26,8,6,14,0.0419651851851851
26,8,6,15,0.0419651851851851
26,8,6,16,0.34849851851851843
26,8,6,17,0.0419651851851851
26,8,6,18,0.34849851851851843
26,8,6,19,0.0419651851851851
26,8,7,0,1.020778518518518
26,8,7,1,0.9841118518518516
26,8,7,2,0.34849851851851843
26,8,7,3,0.34849851851851843
26,8,7,4,0.34849851851851843
26,8,7,5,0.34849851851851843
26,8,7,6,0.34849851851851843
26,8,7,7,0.34849851851851843
26,8,7,8,0.34849851851851843
26,8,7,9,0.34849851851851843
26,8,7,10,0.0419651851851851
26,8,7,11,0.34849851851851843
26,8,7,12,0.34849851851851843
26,8,7,13,0.34849851851851843
26,8,7,14,0.0419651851851851
26,8,7,15,0.0419651851851851
26,8,7,16,0.34849851851851843
26,8,7,17,0.0419651851851851
26,8,7,18,0.34849851851851843
26,8,7,19,0.0419651851851851
26,8,8,0,1.020778518518518
26,8,8,1,0.9841118518518516
26,8,8,2,0.34849851851851843
26,8,8,3,0.34849851851851843
26,8,8,4,0.34849851851851843
26,8,8,5,0.34849851851851843
26,8,8,6,0.34849851851851843
26,8,8,7,0.34849851851851843
26,8,8,8,0.34849851851851843
26,8,8,9,0.34849851851851843
26,8,8,10,0.0419651851851851
26,8,8,11,0.34849851851851843
26,8,8,12,0.34849851851851843
26,8,8,13,0.34849851851851843
26,8,8,14,0.0419651851851851
26,8,8,15,0.0419651851851851
26,8,8,16,0.34849851851851843
26,8,8,17,0.0419651851851851
26,8,8,18,0.34849851851851843
26,8,8,19,0.0419651851851851
26,9,0,0,0.0
26,9,0,1,0.0
26,9,0,2,0.0
26,9,0,3,0.0
26,9,0,4,0.0
26,9,0,5,0.0
26,9,0,6,0.0
26,9,0,7,0.0
26,9,0,8,0.0
26,9,0,9,0.0
26,9,0,10,0.0
26,9,0,11,0.0
26,9,0,12,0.0
26,9,0,13,0.0
26,9,0,14,0.0
26,9,0,15,0.0
26,9,0,16,0.0
26,9,0,17,0.0
26,9,0,18,0.0
26,9,0,19,0.0
26,9,1,0,0.0
26,9,1,1,0.0
26,9,1,2,0.0
26,9,1,3,0.0
26,9,1,4,0.0
26,9,1,5,0.0
26,9,1,6,0.0
26,9,1,7,0.0
26,9,1,8,0.0
26,9,1,9,0.0
26,9,1,10,0.0
26,9,1,11,0.0
26,9,1,12,0.0
26,9,1,13,0.0
26,9,1,14,0.0
26,9,1,15,0.0
26,9,1,16,0.0
26,9,1,17,0.0
26,9,1,18,0.0
26,9,1,19,0.0
26,9,2,0,0.020014074074074
26,9,2,1,0.020014074074074
26,9,2,2,0.020014074074074
26,9,2,3,0.020014074074074
26,9,2,4,0.020014074074074
26,9,2,5,0.020014074074074
26,9,2,6,0.020014074074074
26,9,2,7,0.020014074074074
26,9,2,8,0.020014074074074
26,9,2,9,0.020014074074074
26,9,2,10,0.020014074074074
26,9,2,11,0.020014074074074
26,9,2,12,0.020014074074074
26,9,2,13,0.020014074074074
26,9,2,14,0.020014074074074
26,9,2,15,0.020014074074074
26,9,2,16,0.020014074074074
26,9,2,17,0.020014074074074
26,9,2,18,0.020014074074074
26,9,2,19,0.020014074074074
26,9,3,0,0.0451429629629628
