Levels,Nodes,CarNumbers
34,7,0.05868888888888889
34,8,0.042672592592592595
34,9,0.2647333333333333
34,10,2.8148148148148147e-05
34,11,0.014524444444444444
34,12,0.1612888888888889
34,13,0.10040444444444445
34,14,0.06637333333333334
34,15,0.0
34,16,0.021702222222222223
34,17,0.01854962962962963
34,18,0.03676148148148148
34,19,0.12579407407407406
34,20,0.0
34,21,0.02386962962962963
34,22,0.16306222222222222
34,23,0.13834814814814814
34,24,0.0
34,25,0.07276296296296296
34,26,0.0
35,1,0.0
35,2,0.0
35,3,0.0
35,4,0.0
35,5,0.0
35,6,0.0
35,7,0.0
35,8,0.0
35,9,0.0
35,10,0.0
35,11,0.0
35,12,0.0
35,13,0.0
35,14,0.0
35,15,0.0
35,16,0.0
35,17,0.0
35,18,0.0
35,19,0.0
35,20,0.0
35,21,0.0
35,22,0.0
35,23,0.0
35,24,0.0
35,25,0.0
35,26,0.0
36,1,0.0534074074074074
36,2,0.01685185185185185
36,3,0.0880962962962963
36,4,0.1982037037037037
36,5,0.262474074074074
36,6,0.07264444444444444
36,7,0.05405555555555555
36,8,0.0393037037037037
36,9,0.24383333333333332
36,10,2.5925925925925925e-05
36,11,0.013377777777777777
36,12,0.14855555555555555
36,13,0.09247777777777778
36,14,0.06113333333333333
36,15,0.0
36,16,0.01998888888888889
36,17,0.017085185185185186
36,18,0.033859259259259256
36,19,0.11586296296296295
36,20,0.0
36,21,0.02198518518518518
36,22,0.15018888888888887
36,23,0.12742592592592591
36,24,0.0
36,25,0.0670185185185185
36,26,0.0
37,1,0.0
37,2,0.0
37,3,0.0
37,4,0.0
37,5,0.0
37,6,0.0
37,7,0.0
37,8,0.0
37,9,0.0
37,10,0.0
37,11,0.0
37,12,0.0
37,13,0.0
37,14,0.0
37,15,0.0
37,16,0.0
37,17,0.0
37,18,0.0
37,19,0.0
37,20,0.0
37,21,0.0
37,22,0.0
37,23,0.0
37,24,0.0
37,25,0.0
37,26,0.0
38,1,0.048829629629629626
38,2,0.015407407407407408
38,3,0.08054518518518519
38,4,0.18121481481481483
38,5,0.2399762962962963
38,6,0.06641777777777777
38,7,0.04942222222222222
38,8,0.035934814814814815
38,9,0.22293333333333334
38,10,2.3703703703703703e-05
38,11,0.012231111111111111
38,12,0.13582222222222223
38,13,0.08455111111111112
38,14,0.05589333333333334
38,15,0.0
38,16,0.018275555555555555
38,17,0.015620740740740742
38,18,0.030957037037037036
38,19,0.10593185185185185
38,20,0.0
38,21,0.02010074074074074
38,22,0.13731555555555555
38,23,0.11650370370370369
38,24,0.0
38,25,0.06127407407407407
38,26,0.0
39,1,0.0
39,2,0.0
39,3,0.0
39,4,0.0
39,5,0.0
39,6,0.0
39,7,0.0
39,8,0.0
39,9,0.0
39,10,0.0
39,11,0.0
39,12,0.0
39,13,0.0
39,14,0.0
39,15,0.0
39,16,0.0
39,17,0.0
39,18,0.0
39,19,0.0
39,20,0.0
39,21,0.0
39,22,0.0
39,23,0.0
39,24,0.0
39,25,0.0
39,26,0.0
40,1,0.044251851851851855
40,2,0.013962962962962965
40,3,0.07299407407407409
40,4,0.16422592592592594
40,5,0.21747851851851854
40,6,0.06019111111111112
40,7,0.04478888888888889
40,8,0.03256592592592593
40,9,0.20203333333333334
40,10,2.1481481481481485e-05
40,11,0.011084444444444445
40,12,0.12308888888888891
40,13,0.07662444444444447
40,14,0.05065333333333334
40,15,0.0
40,16,0.016562222222222225
40,17,0.014156296296296299
40,18,0.028054814814814817
40,19,0.09600074074074075
40,20,0.0
40,21,0.018216296296296296
40,22,0.12444222222222223
40,23,0.10558148148148148
40,24,0.0
40,25,0.05552962962962964
40,26,0.0
41,1,0.0
41,2,0.0
41,3,0.0
41,4,0.0
41,5,0.0
41,6,0.0
41,7,0.0
41,8,0.0
41,9,0.0
41,10,0.0
41,11,0.0
41,12,0.0
41,13,0.0
41,14,0.0
41,15,0.0
41,16,0.0
41,17,0.0
41,18,0.0
41,19,0.0
41,20,0.0
41,21,0.0
41,22,0.0
41,23,0.0
41,24,0.0
41,25,0.0
41,26,0.0
42,1,0.03967407407407408
42,2,0.012518518518518519
42,3,0.06544296296296297
42,4,0.14723703703703706
42,5,0.19498074074074073
42,6,0.05396444444444445
42,7,0.040155555555555555
42,8,0.02919703703703704
42,9,0.18113333333333334
42,10,1.925925925925926e-05
42,11,0.009937777777777778
42,12,0.11035555555555557
42,13,0.06869777777777779
42,14,0.04541333333333333
42,15,0.0
42,16,0.014848888888888889
42,17,0.012691851851851853
42,18,0.025152592592592594
42,19,0.08606962962962962
42,20,0.0
42,21,0.01633185185185185
42,22,0.1115688888888889
42,23,0.09465925925925926
42,24,0.0
42,25,0.04978518518518518
42,26,0.0
43,1,0.0
43,2,0.0
43,3,0.0
43,4,0.0
43,5,0.0
43,6,0.0
43,7,0.0
43,8,0.0
43,9,0.0
43,10,0.0
43,11,0.0
43,12,0.0
43,13,0.0
43,14,0.0
43,15,0.0
43,16,0.0
43,17,0.0
43,18,0.0
43,19,0.0
43,20,0.0
43,21,0.0
43,22,0.0
43,23,0.0
43,24,0.0
43,25,0.0
43,26,0.0
44,1,0.03509629629629629
44,2,0.011074074074074073
44,3,0.05789185185185185
44,4,0.13024814814814814
44,5,0.17248296296296295
44,6,0.047737777777777775
44,7,0.03552222222222222
44,8,0.025828148148148145
44,9,0.1602333333333333
44,10,1.7037037037037035e-05
44,11,0.00879111111111111
44,12,0.09762222222222222
44,13,0.06077111111111111
44,14,0.04017333333333333
44,15,0.0
44,16,0.013135555555555555
44,17,0.011227407407407406
44,18,0.02225037037037037
44,19,0.07613851851851851
44,20,0.0
44,21,0.014447407407407405
44,22,0.09869555555555555
44,23,0.08373703703703703
44,24,0.0
44,25,0.044040740740740734
44,26,0.0
45,1,0.0
45,2,0.0
45,3,0.0
45,4,0.0
45,5,0.0
45,6,0.0
45,7,0.0
45,8,0.0
45,9,0.0
45,10,0.0
45,11,0.0
45,12,0.0
45,13,0.0
45,14,0.0
45,15,0.0
45,16,0.0
45,17,0.0
45,18,0.0
45,19,0.0
45,20,0.0
45,21,0.0
45,22,0.0
45,23,0.0
45,24,0.0
45,25,0.0
45,26,0.0
46,1,0.030518518518518518
46,2,0.00962962962962963
46,3,0.05034074074074074
46,4,0.11325925925925927
