Edges,From,To,Scenario,Time,Probability
22,7,18,20,,0.05
23,18,19,20,,0.05
24,19,20,20,,0.05
25,8,21,20,,0.05
26,21,22,20,,0.05
27,22,23,20,,0.05
28,23,24,20,,0.05
29,6,25,20,,0.05
30,7,25,20,,0.05
31,11,25,20,1.6248021439999998,0.05
32,17,26,20,,0.05
33,2,1,1,,0.05
34,3,2,1,,0.05
35,4,3,1,,0.05
36,5,4,1,,0.05
37,6,5,1,1.6988087969999999,0.05
38,7,6,1,14.48019816,0.05
39,8,7,1,,0.05
40,1,8,1,,0.05
41,9,4,1,,0.05
42,9,5,1,,0.05
43,10,2,1,,0.05
44,10,3,1,,0.05
45,11,10,1,7.203094481999999,0.05
46,11,5,1,11.64836833,0.05
47,11,6,1,0.5,0.05
48,12,4,1,,0.05
49,13,12,1,,0.05
50,14,13,1,,0.05
51,15,14,1,,0.05
52,16,9,1,,0.05
53,17,16,1,,0.05
54,18,7,1,,0.05
55,19,18,1,,0.05
56,20,19,1,,0.05
57,21,8,1,,0.05
58,22,21,1,,0.05
59,23,22,1,,0.05
60,24,23,1,,0.05
61,25,6,1,5.533482869,0.05
62,25,7,1,18.48919474,0.05
63,25,11,1,0.5,0.05
64,26,17,1,,0.05
33,2,1,2,,0.05
34,3,2,2,,0.05
35,4,3,2,,0.05
36,5,4,2,,0.05
37,6,5,2,12.51444906,0.05
38,7,6,2,4.066156514,0.05
39,8,7,2,,0.05
40,1,8,2,,0.05
41,9,4,2,,0.05
42,9,5,2,,0.05
43,10,2,2,,0.05
44,10,3,2,,0.05
45,11,10,2,15.381365970000001,0.05
46,11,5,2,20.12655843,0.05
47,11,6,2,3.4831985469999998,0.05
48,12,4,2,,0.05
49,13,12,2,,0.05
50,14,13,2,,0.05
51,15,14,2,,0.05
52,16,9,2,,0.05
53,17,16,2,,0.05
54,18,7,2,,0.05
55,19,18,2,,0.05
56,20,19,2,,0.05
57,21,8,2,,0.05
58,22,21,2,,0.05
59,23,22,2,,0.05
60,24,23,2,,0.05
61,25,6,2,1.0275822959999998,0.05
62,25,7,2,2.65814209,0.05
63,25,11,2,0.5,0.05
64,26,17,2,,0.05
33,2,1,3,20.37798869,0.05
34,3,2,3,13.87963562,0.05
35,4,3,3,,0.05
36,5,4,3,,0.05
37,6,5,3,,0.05
38,7,6,3,,0.05
39,8,7,3,,0.05
40,1,8,3,,0.05
41,9,4,3,,0.05
42,9,5,3,,0.05
43,10,2,3,8.546318563,0.05
44,10,3,3,11.47803345,0.05
45,11,10,3,9.6500234,0.05
46,11,5,3,,0.05
47,11,6,3,,0.05
48,12,4,3,,0.05
49,13,12,3,,0.05
50,14,13,3,,0.05
51,15,14,3,,0.05
52,16,9,3,,0.05
53,17,16,3,,0.05
54,18,7,3,,0.05
55,19,18,3,,0.05
56,20,19,3,,0.05
57,21,8,3,,0.05
58,22,21,3,,0.05
59,23,22,3,,0.05
60,24,23,3,,0.05
61,25,6,3,,0.05
62,25,7,3,,0.05
63,25,11,3,,0.05
64,26,17,3,,0.05
33,2,1,4,,0.05
34,3,2,4,,0.05
35,4,3,4,,0.05
36,5,4,4,,0.05
37,6,5,4,,0.05
38,7,6,4,6.867829386,0.05
39,8,7,4,,0.05
40,1,8,4,,0.05
41,9,4,4,,0.05
42,9,5,4,,0.05
43,10,2,4,,0.05
44,10,3,4,,0.05
45,11,10,4,,0.05
46,11,5,4,,0.05
47,11,6,4,9.95797221,0.05
48,12,4,4,,0.05
49,13,12,4,,0.05
50,14,13,4,,0.05
51,15,14,4,,0.05
52,16,9,4,,0.05
53,17,16,4,,0.05
54,18,7,4,,0.05
55,19,18,4,,0.05
56,20,19,4,,0.05
57,21,8,4,,0.05
58,22,21,4,,0.05
59,23,22,4,,0.05
60,24,23,4,,0.05
61,25,6,4,0.5,0.05
62,25,7,4,0.5,0.05
63,25,11,4,0.5,0.05
64,26,17,4,,0.05
33,2,1,5,,0.05
34,3,2,5,10.2185201,0.05
35,4,3,5,,0.05
36,5,4,5,,0.05
37,6,5,5,,0.05
38,7,6,5,,0.05
39,8,7,5,,0.05
40,1,8,5,,0.05
41,9,4,5,,0.05
42,9,5,5,,0.05
43,10,2,5,3.381494141,0.05
44,10,3,5,5.881894938,0.05
45,11,10,5,4.215103658,0.05
46,11,5,5,,0.05
47,11,6,5,,0.05
48,12,4,5,,0.05
49,13,12,5,,0.05
50,14,13,5,,0.05
51,15,14,5,,0.05
52,16,9,5,,0.05
53,17,16,5,,0.05
54,18,7,5,,0.05
55,19,18,5,,0.05
56,20,19,5,,0.05
57,21,8,5,,0.05
58,22,21,5,,0.05
59,23,22,5,,0.05
60,24,23,5,,0.05
61,25,6,5,,0.05
62,25,7,5,,0.05
63,25,11,5,,0.05
64,26,17,5,,0.05
33,2,1,6,0.808730825,0.05
34,3,2,6,13.79639791,0.05
35,4,3,6,,0.05
36,5,4,6,,0.05
37,6,5,6,,0.05
38,7,6,6,,0.05
39,8,7,6,,0.05
40,1,8,6,,0.05
41,9,4,6,,0.05
42,9,5,6,,0.05
43,10,2,6,10.56161194,0.05
44,10,3,6,,0.05
45,11,10,6,,0.05
46,11,5,6,,0.05
47,11,6,6,,0.05
48,12,4,6,,0.05
49,13,12,6,,0.05
50,14,13,6,,0.05
51,15,14,6,,0.05
52,16,9,6,,0.05
